,id,age,gender,size,breed
0,46744842,Adult,Female,Medium,Abyssinian
1,46717321,Adult,Male,Extra Large,Abyssinian
2,46626338,Senior,Female,Medium,Abyssinian
3,46620170,Baby,Female,Small,Abyssinian
4,46582751,Young,Female,Medium,Abyssinian
5,46503423,Young,Male,Medium,Abyssinian
6,46499754,Adult,Female,Medium,Abyssinian
7,46463847,Adult,Male,Medium,Abyssinian
8,46434624,Baby,Female,Small,Abyssinian
9,46378434,Baby,Male,Small,Abyssinian
10,46372312,Baby,Male,Small,Abyssinian
11,46305208,Senior,Male,Medium,Abyssinian
12,46301725,Adult,Female,Medium,Abyssinian
13,46293180,Young,Male,Small,Abyssinian
14,46268318,Baby,Female,Medium,Abyssinian
15,46267273,Adult,Female,Medium,Abyssinian
16,46267252,Adult,Male,Medium,Abyssinian
17,46267206,Adult,Female,Medium,Abyssinian
18,46262849,Adult,Female,Medium,Abyssinian
19,46259475,Young,Male,Medium,Abyssinian
20,46251119,Baby,Male,Medium,Abyssinian
21,46226177,Senior,Female,Small,Abyssinian
22,46167255,Young,Male,Small,Abyssinian
23,46141437,Young,Female,Medium,Abyssinian
24,46105561,Baby,Female,Medium,Abyssinian
25,46105551,Baby,Male,Medium,Abyssinian
26,46066046,Adult,Female,Medium,Abyssinian
27,46004141,Baby,Female,Medium,Abyssinian
28,46003742,Adult,Female,Medium,Abyssinian
29,46004079,Baby,Female,Medium,Abyssinian
30,46003832,Baby,Female,Medium,Abyssinian
31,46003585,Adult,Female,Medium,Abyssinian
32,46003116,Baby,Male,Medium,Abyssinian
33,46002529,Baby,Female,Medium,Abyssinian
34,46002278,Baby,Female,Medium,Abyssinian
35,46002248,Young,Female,Medium,Abyssinian
36,46002027,Baby,Male,Medium,Abyssinian
37,46001966,Baby,Male,Medium,Abyssinian
38,46001333,Baby,Female,Medium,Abyssinian
39,46000460,Baby,Male,Medium,Abyssinian
40,45999482,Baby,Female,Medium,Abyssinian
41,46000817,Adult,Female,Medium,Abyssinian
42,45997545,Baby,Female,Medium,Abyssinian
43,45998391,Baby,Male,Medium,Abyssinian
44,45999782,Baby,Male,Medium,Abyssinian
45,46000606,Baby,Female,Medium,Abyssinian
46,45997474,Baby,Male,Medium,Abyssinian
47,45998007,Baby,Female,Medium,Abyssinian
48,45997305,Adult,Female,Medium,Abyssinian
49,45999770,Baby,Male,Medium,Abyssinian
50,45997693,Baby,Female,Medium,Abyssinian
51,45997661,Baby,Male,Medium,Abyssinian
52,45996727,Baby,Male,Medium,Abyssinian
53,45996707,Baby,Female,Medium,Abyssinian
54,45995835,Baby,Male,Medium,Abyssinian
55,45995117,Baby,Female,Medium,Abyssinian
56,45996549,Baby,Female,Medium,Abyssinian
57,45996433,Adult,Female,Medium,Abyssinian
58,45994835,Baby,Female,Medium,Abyssinian
59,45995527,Baby,Male,Medium,Abyssinian
60,45994758,Adult,Female,Medium,Abyssinian
61,45995845,Baby,Female,Medium,Abyssinian
62,45995934,Young,Female,Medium,Abyssinian
63,45994576,Baby,Female,Medium,Abyssinian
64,45994521,Baby,Female,Medium,Abyssinian
65,45993925,Baby,Female,Medium,Abyssinian
66,45993950,Young,Female,Medium,Abyssinian
67,45993745,Baby,Female,Medium,Abyssinian
68,45994029,Young,Female,Medium,Abyssinian
69,45993677,Baby,Male,Medium,Abyssinian
70,45993430,Baby,Male,Medium,Abyssinian
71,45992932,Baby,Female,Medium,Abyssinian
72,45992545,Baby,Male,Medium,Abyssinian
73,45948803,Young,Male,Small,Abyssinian
74,45938991,Adult,Male,Medium,Abyssinian
75,45859276,Young,Female,Small,Abyssinian
76,45820394,Young,Female,Medium,Abyssinian
77,45818888,Adult,Male,Medium,Abyssinian
78,45818386,Adult,Female,Small,Abyssinian
79,45818167,Adult,Male,Large,Abyssinian
80,45809071,Young,Female,Large,Abyssinian
81,45809064,Young,Male,Large,Abyssinian
82,45809083,Adult,Male,Large,Abyssinian
83,45799083,Young,Female,Small,Abyssinian
84,45554517,Young,Female,Medium,Abyssinian
85,45549266,Young,Female,Medium,Abyssinian
86,45537021,Young,Female,Small,Abyssinian
87,45457706,Baby,Female,Small,Abyssinian
88,45384799,Young,Male,Medium,Abyssinian
89,45350203,Senior,Female,Medium,Abyssinian
90,45276960,Young,Male,Medium,Abyssinian
91,45269682,Baby,Female,Medium,Abyssinian
92,45264277,Senior,Male,Large,Abyssinian
93,45255039,Baby,Male,Small,Abyssinian
94,45162546,Young,Female,Medium,Abyssinian
95,45019162,Baby,Female,Small,Abyssinian
96,45013917,Baby,Female,Small,Abyssinian
97,44972038,Young,Female,Small,Abyssinian
98,44947029,Adult,Male,Medium,Abyssinian
99,44927473,Adult,Male,Medium,Abyssinian
100,44899977,Senior,Female,Medium,Abyssinian
101,44899943,Adult,Female,Small,Abyssinian
102,44853637,Adult,Female,Medium,Abyssinian
103,44790357,Baby,Male,Medium,Abyssinian
104,44738205,Senior,Female,Medium,Abyssinian
105,44702342,Adult,Male,Medium,Abyssinian
106,44686367,Adult,Male,Small,Abyssinian
107,44578288,Young,Female,Medium,Abyssinian
108,44509949,Adult,Male,Large,Abyssinian
109,44493797,Adult,Female,Small,Abyssinian
110,44482899,Young,Female,Small,Abyssinian
111,44420973,Adult,Female,Small,Abyssinian
112,44371545,Young,Female,Small,Abyssinian
113,44231983,Senior,Male,Large,Abyssinian
114,44206067,Adult,Female,Small,Abyssinian
115,44186717,Young,Female,Medium,Abyssinian
116,44093012,Adult,Male,Medium,Abyssinian
117,44055179,Adult,Female,Medium,Abyssinian
118,44006447,Adult,Female,Medium,Abyssinian
